City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
604,Nakhon Thai,TH,85.3,overcast clouds,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
605,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
609,Wanganui,NZ,62.6,clear sky,-39.9333,175.05,Aotea Motor Lodge
611,Rosarito,MX,65.35,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
613,Gasa,PS,66.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
614,Eydhafushi,MV,81.34,overcast clouds,5.1033,73.0708,Soneva Fushi
615,Pafos,CY,64.18,few clouds,34.7667,32.4167,Elysium Hotel
620,Prabumulih,ID,84.76,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
622,High Rock,BS,75.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
625,Abnub,EG,62.82,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
626,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
627,Santa Cruz,BO,62.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
628,Tahta,EG,68.59,scattered clouds,26.7693,31.5021,فندق الزيات
630,Jalu,LY,61.79,clear sky,29.0331,21.5482,صاحبة الفخامة
631,Dayong,CN,67.44,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
632,Pongol,PH,76.3,broken clouds,8.2786,124.7483,A-FARM
635,Kutum,SD,69.98,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
637,Gunjur,GM,80.74,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
638,Cockburn Town,TC,82.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
639,Mucurapo,TT,79.25,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
