City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
239,Tahe,CN,52.3333,124.7333,28.09,72,100,11.9,overcast clouds
240,Jackson,US,42.4165,-122.8345,54.79,80,100,0.0,overcast clouds
241,Ziarat,PK,30.3823,67.7282,58.87,28,0,8.43,clear sky
242,Lasa,IT,46.6166,10.7002,50.88,62,97,2.98,overcast clouds
243,Longyearbyen,SJ,78.2186,15.6401,30.04,86,75,6.91,broken clouds
244,Marienburg,PL,54.0359,19.0266,55.85,94,100,2.06,overcast clouds
245,Bengbu,CN,32.9408,117.3608,72.5,35,0,11.59,clear sky
246,Fortuna,US,40.5982,-124.1573,52.99,96,75,1.99,broken clouds
247,Rocha,UY,-34.4833,-54.3333,48.63,68,100,6.8,overcast clouds
248,Yeppoon,AU,-23.1333,150.7333,85.78,79,81,11.99,broken clouds
249,Sabha,LY,27.0377,14.4283,60.62,53,44,8.7,scattered clouds
250,Devils Lake,US,48.1128,-98.8651,40.95,89,0,1.99,clear sky
251,Panaba,MX,21.2833,-88.2667,71.65,92,0,5.66,clear sky
252,Provideniya,RU,64.3833,-173.3,26.71,74,100,13.42,shower snow
253,Kieta,PG,-6.2167,155.6333,82.96,78,28,5.21,light rain
254,Shimoda,JP,34.6667,138.95,64.76,78,100,12.37,light rain
255,Taltal,CL,-25.4,-70.4833,56.97,81,32,2.95,scattered clouds
256,Margate,GB,51.3813,1.3862,57.9,71,69,8.99,broken clouds
257,Nuuk,GL,64.1835,-51.7216,29.01,86,75,10.36,broken clouds
258,Alofi,NU,-19.0595,-169.9187,78.69,83,81,5.75,broken clouds
259,Mareeba,AU,-17.0,145.4333,97.45,47,47,5.28,scattered clouds
260,Jacksonville,US,30.3322,-81.6556,73.51,92,75,5.75,broken clouds
261,Russell,US,32.3502,-85.1999,58.6,80,67,4.38,broken clouds
262,Neuruppin,DE,52.9282,12.8031,53.1,92,58,7.29,broken clouds
263,Puerto Colombia,CO,10.9878,-74.9547,75.29,76,100,3.98,overcast clouds
264,Tuatapere,NZ,-46.1333,167.6833,64.06,46,100,9.22,moderate rain
265,Naron,ES,43.5167,-8.1528,54.01,87,98,9.82,overcast clouds
266,Altay,CN,47.8667,88.1167,40.05,51,62,1.48,broken clouds
267,San Cristobal,VE,7.7669,-72.225,69.98,97,82,1.01,broken clouds
268,Stykkisholmur,IS,65.0757,-22.7297,42.93,94,100,11.01,light rain
269,Pecos,US,31.4229,-103.4932,59.31,76,0,8.05,clear sky
270,Aketi,CD,2.7388,23.7833,71.49,96,79,0.56,broken clouds
271,Te Anau,NZ,-45.4167,167.7167,61.66,50,100,9.57,heavy intensity rain
272,Abonnema,NG,4.7084,6.7931,75.49,89,96,1.59,overcast clouds
273,Batagay-Alyta,RU,67.8006,130.4114,3.79,90,93,1.36,overcast clouds
274,Mineiros,BR,-17.5694,-52.5511,65.1,95,100,10.22,overcast clouds
275,Gangoh,IN,29.7667,77.25,77.74,46,0,4.18,clear sky
276,Bridgetown,BB,13.1,-59.6167,82.89,83,40,17.27,scattered clouds
277,Barrow,US,71.2906,-156.7887,3.22,92,100,19.57,mist
278,Ziway,ET,7.9333,38.7167,65.19,39,3,9.04,clear sky
279,Pallasovka,RU,50.05,46.8833,32.47,86,37,12.28,scattered clouds
280,Trelew,AR,-43.249,-65.3051,54.54,41,0,20.07,clear sky
281,Clarence Town,AU,-32.5833,151.7833,74.61,49,29,11.79,scattered clouds
